[04:16:38] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04:19:33] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:29:17] [INFO] received Windows console close event; shutting log-core down
[17:36:01] [INFO] received Windows console close event; shutting log-core down
[17:37:19] [INFO] received Windows console close event; shutting log-core down
[17:48:26] [INFO] received Windows console close event; shutting log-core down
[17:54:21] [INFO] received Windows console close event; shutting log-core down
[18:28:47] [INFO] received Windows console close event; shutting log-core down
[18:48:07] [INFO] received Windows console close event; shutting log-core down
[19:09:21] [INFO] received Windows console close event; shutting log-core down
[19:16:04] [INFO] received Windows console close event; shutting log-core down
[21:41:45] [INFO] received Windows console close event; shutting log-core down
[21:47:01] [INFO] received Windows console close event; shutting log-core down
[22:30:49] [INFO] received Windows console close event; shutting log-core down
[00:51:42] [INFO] received Windows console close event; shutting log-core down
[00:52:53] [INFO] received Windows console close event; shutting log-core down
[01:34:29] [INFO] received Windows console close event; shutting log-core down
[01:43:49] [INFO] received Windows console close event; shutting log-core down
[01:44:48] [INFO] received Windows console close event; shutting log-core down
[01:47:50] [INFO] received Windows console close event; shutting log-core down
[02:05:36] [INFO] received Windows console close event; shutting log-core down
[02:08:11] [INFO] received Windows console close event; shutting log-core down
[02:34:40] [INFO] received Windows console close event; shutting log-core down
[03:12:13] [INFO] received Windows console close event; shutting log-core down
[03:22:16] [INFO] received Windows console close event; shutting log-core down
[03:26:35] [INFO] received Windows console close event; shutting log-core down
[03:30:48] [INFO] received Windows console close event; shutting log-core down
[03:31:49] [INFO] received Windows console close event; shutting log-core down
[13:51:30] [INFO] received Windows console close event; shutting log-core down
[13:51:47] [INFO] received Windows console close event; shutting log-core down
[13:53:58] [INFO] received Windows console close event; shutting log-core down
[14:30:34] [INFO] received Windows console close event; shutting log-core down
[15:33:28] [INFO] received Windows console close event; shutting log-core down
[17:20:36] [INFO] received Windows console close event; shutting log-core down
[15:09:25] [INFO] received Windows console close event; shutting log-core down
